osmid,y,x,street_count,highway,ref,geometry
112613532,41.1826079,-8.6461294,4,,,POINT (-8.6461294 41.1826079)
112613542,41.1842601,-8.6422114,3,,,POINT (-8.6422114 41.1842601)
112613584,41.1831689,-8.6134596,4,,,POINT (-8.6134596 41.1831689)
112613589,41.1837498,-8.6113737,3,,,POINT (-8.6113737 41.1837498)
112613592,41.1844453,-8.6095467,5,,,POINT (-8.6095467 41.1844453)
112613596,41.1845969,-8.6073555,3,,,POINT (-8.6073555 41.1845969)
112613601,41.1837635,-8.6034296,5,,,POINT (-8.6034296 41.1837635)
112613620,41.1799073,-8.5862781,3,,,POINT (-8.5862781 41.1799073)
112613628,41.1810533,-8.5833192,4,,,POINT (-8.5833192 41.1810533)
112613629,41.1809478,-8.5831147,4,,,POINT (-8.5831147 41.1809478)
112613636,41.1809001,-8.5766111,3,,,POINT (-8.5766111 41.1809001)
112617114,41.1805735,-8.5755391,3,,,POINT (-8.5755391 41.1805735)
112617118,41.1799678,-8.5725586,3,,,POINT (-8.5725586 41.1799678)
112617119,41.179962,-8.5721963,3,,,POINT (-8.5721963 41.179962)
112617132,41.1742389,-8.5677654,3,,,POINT (-8.5677654 41.1742389)
112617134,41.1737275,-8.5680366,3,,,POINT (-8.5680366 41.1737275)
112617137,41.1715969,-8.567193,3,,,POINT (-8.567193 41.1715969)
112617141,41.1703404,-8.5698525,3,,,POINT (-8.5698525 41.1703404)
112617147,41.1683239,-8.5708255,3,,,POINT (-8.5708255 41.1683239)
112617153,41.1675045,-8.5702377,4,,,POINT (-8.5702377 41.1675045)
112617158,41.167218,-8.567845,3,,,POINT (-8.567845 41.167218)
112617168,41.1637248,-8.5657587,3,,,POINT (-8.5657587 41.1637248)
112617174,41.1623177,-8.5645547,3,,,POINT (-8.5645547 41.1623177)
112618339,41.1584424,-8.5616403,3,,,POINT (-8.5616403 41.1584424)
112618345,41.1580288,-8.5620718,3,,,POINT (-8.5620718 41.1580288)
112618347,41.157845,-8.5620055,3,,,POINT (-8.5620055 41.157845)
112618350,41.1576421,-8.5616289,3,,,POINT (-8.5616289 41.1576421)
112618365,41.1584387,-8.5614061,3,,,POINT (-8.5614061 41.1584387)
112624344,41.1561526,-8.5587853,3,,,POINT (-8.5587853 41.1561526)
112641245,41.1779013,-8.6225065,3,,,POINT (-8.6225065 41.1779013)
112651995,41.1834539,-8.601425,3,,,POINT (-8.601425 41.1834539)
112652003,41.1846757,-8.6090463,3,,,POINT (-8.6090463 41.1846757)
112652004,41.1845367,-8.6097347,3,,,POINT (-8.6097347 41.1845367)
112652015,41.1833293,-8.6134476,4,,,POINT (-8.6134476 41.1833293)
112652019,41.182741,-8.617751,3,,,POINT (-8.617751 41.182741)
112652932,41.1809506,-8.5934754,3,,,POINT (-8.5934754 41.1809506)
112675715,41.1575794,-8.6280314,3,,,POINT (-8.6280314 41.1575794)
112677103,41.16275,-8.6331077,3,,,POINT (-8.6331077 41.16275)
112677104,41.1632395,-8.6334926,3,crossing,,POINT (-8.6334926 41.1632395)
