u,v,highway,length
128560446,474793789,secondary,58.636
128560446,474794842,secondary,16.857
128560448,8091600965,tertiary,52.656
128560448,8091600964,secondary,50.735
128560448,2958410861,secondary,47.991
128566335,128560437,secondary,84.221
128566335,5258500725,tertiary,51.577
128566335,2486710615,secondary,106.034
128571476,11371491777,motorway_link,70.245
128571476,128577510,motorway_link,84.237
128573633,3092784194,motorway_link,387.036
128575853,11371573708,motorway_link,45.231
128575853,128573633,motorway_link,64.03
128577510,128577519,motorway_link,221.878
128577519,3092764696,motorway,250.363
128578704,128578706,motorway_link,18.487
128578704,11108276739,motorway_link,20.197
128578706,11108276739,tertiary,10.386
128578706,4731603473,motorway_link,85.793
128579264,2490198505,motorway,283.471
128579825,128579264,motorway_link,46.376
128580161,128579825,motorway_link,118.674
128580161,128581937,secondary,77.181
128580161,128597080,secondary,46.633
128581937,128586501,secondary_link,67.908
128581937,2490198483,tertiary,98.633
128583756,128583855,motorway_link,87.732
128583855,26015892,motorway,409.934
128586501,4731603473,"['secondary', 'secondary_link']",163.232
128587416,128588858,motorway_link,150.978
128587416,128586501,motorway_link,273.584
128588858,128580161,secondary_link,132.473
128597080,4087312908,secondary,5.711
128597080,128580161,secondary,46.633
128597080,411504967,secondary,48.057
128616477,11371513838,secondary,0.977
128616478,128617100,secondary_link,16.951
128616478,128560429,secondary,29.187
128617100,11371510479,secondary,0.598
128617101,128616477,secondary_link,15.84
128617101,128560426,secondary,27.204
128651490,792643017,primary,9.993
128651494,792643023,primary,7.321
128651494,444030216,residential,44.832
128655622,1548085960,residential,28.78
128655622,128655623,secondary,21.447
128655623,4395077799,secondary,49.386
128655624,1548085276,secondary,176.125
128655624,5291943800,secondary,20.452
128655625,1548083005,tertiary,242.175
128655625,5291943800,secondary,106.504
128655625,1548083460,secondary,156.55
128655629,1548082998,secondary,45.042
128655629,1548082859,residential,56.489
128655630,1548082068,living_street,163.729
128655630,128655633,secondary,48.703
128655633,5291943563,living_street,116.071
128655633,1097379481,secondary,18.173
128655638,128655642,secondary,118.002
128655638,1097379507,residential,54.181
128655642,128655643,secondary,10.112
128655642,1097379507,tertiary,106.469
128655643,128655642,secondary,10.112
128655643,5245919868,secondary,163.287
128655643,1198770853,residential,117.146
128655654,4708644909,secondary,121.516
128655654,3644725912,tertiary,122.235
128655654,5245919868,secondary,70.805
128655660,414905368,residential,75.823
128655660,417058220,tertiary,445.488
128655671,427277889,residential,58.71
128655671,126638962,secondary,70.571
128668277,2178845900,secondary,173.336
128668277,1788786376,residential,64.369
128668278,128668277,secondary,51.45
128668278,6548313440,secondary,113.784
128668285,6548313440,secondary,31.518
128668285,1788786173,secondary,239.297
128668299,428214874,secondary,96.962
128668299,129676781,secondary,49.706
128668307,314075546,secondary,201.517
128668307,428215354,secondary,30.082
128668309,428215781,secondary,245.446
128668309,314075504,secondary,32.591
128668316,428215776,residential,130.442
128668316,314074321,secondary,47.907
128668316,314074258,secondary,46.975
128669173,428215421,secondary,47.941
128672584,503018146,residential,55.081
128672584,479226382,secondary,185.623
128672584,311889489,secondary,126.467
128673221,1110673556,secondary,85.992
128673221,297880620,secondary,41.078
128673221,128673222,secondary,131.856
128673222,1416622189,residential,116.635
128673222,285945659,secondary,113.495
128673222,128673221,secondary,131.856
128673222,128673223,secondary,157.39
128673223,478863293,residential,106.007
128673223,128673222,secondary,157.39
128673223,1788786316,secondary,62.057
128674452,128674453,residential,138.395
128674452,1110673556,secondary,37.675
128674452,128677724,secondary,166.695
128674453,25632372,residential,45.256
128677717,138218138,residential,352.543
128677717,25632362,secondary,135.417
128677717,1788785597,secondary,22.228
128677724,478208164,residential,8.209
128677724,427067727,secondary,227.684
128677724,128674452,secondary,166.695
128679581,2273284449,residential,8.247
128679581,128680158,secondary,211.801
128679581,138218138,secondary,314.414
128680158,129558556,secondary,160.876
128680158,1554886175,tertiary,92.249
129544876,25620960,secondary,110.617
129548927,129548929,secondary,164.303
129548927,137992808,residential,66.983
129548927,1209790928,secondary,177.448
129548929,129548927,secondary,164.303
129548929,5291598308,secondary,189.019
129548933,2585545679,residential,140.176
129549662,475394859,tertiary,24.86
129549662,5291538854,residential,77.346
129550139,501225708,residential,126.464
129550851,1110698243,secondary,38.95
129552044,129550139,residential,31.384
129552045,280197437,residential,131.382
129552045,501252536,residential,125.761
129552046,137994655,residential,96.181
129552046,129552045,residential,97.866
129552048,353287405,residential,144.23
129552512,501225708,living_street,210.882
129552512,1887601114,residential,24.914
129553667,475410116,tertiary,112.699
129553875,129554561,tertiary,116.306
129553875,129554083,tertiary,122.929
129554083,668955253,tertiary,27.728
129554561,25632433,residential,217.284
129554561,2308839857,tertiary,58.189
129555296,1788785599,secondary,173.961
129555296,4452315907,tertiary,71.165
129555296,25632438,secondary,114.351
129557542,2214758555,secondary,9.029
129557542,6551282170,living_street,41.664
129558556,314549177,secondary,41.515
129558556,1788784965,residential,41.915
129558976,3457190272,residential,50.07
129558976,475552091,residential,141.141
129558976,286969936,residential,31.836
129559333,3092601790,secondary,16.721
129559333,11005833093,secondary,7.263
129559333,10718774501,secondary,21.867
129559334,2356350457,secondary,27.891
129559334,3688773918,secondary,239.686
129665112,129665113,secondary_link,41.496
129665112,11385735385,secondary_link,76.014
129665113,1353859187,secondary,227.046
129667175,129665112,secondary_link,55.22
129667175,129667179,secondary,81.73
129667179,4440997253,secondary_link,26.408
129667179,128668299,secondary,66.238
129676781,4440997253,secondary_link,30.914
129676781,128668299,secondary,49.706
129676781,11385735385,secondary,83.89
129692092,129779462,secondary,46.61
129692092,126554316,secondary,118.265
129692094,129779462,secondary,32.092
129692094,129692092,secondary,51.988
129777800,1840161096,residential,30.53
129777800,129777802,secondary,36.655
129777802,128669173,secondary,105.581
129779462,129777800,secondary,22.923
129784803,479184346,living_street,44.438
129784803,26016458,motorway_link,74.265
129786479,479184232,residential,43.554
129786479,129784803,tertiary,72.045
129786479,1108247111,residential,34.092
129788146,26016457,motorway_link,1114.532
129788146,479183080,"['tertiary_link', 'tertiary']",318.913
129789018,129788146,secondary,95.535
129792737,129789018,secondary,196.808
129795158,1438444064,secondary,81.953
129795158,129795568,tertiary,71.336
129795309,314555992,secondary,54.048
129795309,129800097,residential,35.263
129795309,129800102,secondary,36.563
129795568,137817763,tertiary,56.621
129800097,1416622188,residential,114.987
129800102,129800097,residential,27.328
129800102,129795309,secondary,36.563
129800102,2244990442,secondary,90.803
129953503,1110673414,secondary,54.402
129953503,138214591,secondary,53.588
129953504,455341194,secondary,42.623
129953504,475049092,tertiary,227.887
129953505,129953504,secondary,124.088
129953505,335561064,residential,87.068
130075497,1352647022,motorway_link,189.018
130075497,3092747279,motorway,201.675
130075590,4464130485,primary,68.737
130075590,130075593,motorway_link,39.184
130075593,3092747274,motorway_link,159.398
137817763,335561787,residential,77.781
137817763,9380255665,tertiary,150.986
137868887,10718774501,secondary,57.599
137868887,137873037,living_street,29.002
137868887,3688773918,secondary,65.175
137873037,137868887,living_street,29.002
137882131,2222190811,secondary,49.384
137882131,4558796673,secondary,128.844
137882131,2208891134,secondary,193.773
137882131,2222393782,secondary,145.662
137884299,2222393782,secondary,98.897
137884299,2307219747,secondary,111.592
137896681,2222393782,living_street,84.823
137896681,2208891134,residential,179.693
137896691,138238303,residential,123.771
137896691,137896693,secondary,97.992
137896691,2307219723,secondary,105.864
137896693,138239684,residential,143.428
137896693,137896694,secondary,80.83
137896693,137896691,secondary,97.992
137896694,138240035,residential,133.049
137896694,137896696,secondary,73.644
137896694,137896693,secondary,80.83
137896696,137896694,secondary,73.644
137896696,138241615,residential,77.192
137896696,3024642959,secondary,92.542
137901873,137901874,secondary,46.091
137901873,138238303,residential,129.385
137901874,2308839857,secondary,36.279
137901874,2308862117,tertiary_link,31.514
137903872,5849847847,living_street,27.152
137903872,137901873,residential,220.478
137959671,4452315908,tertiary,85.849
137961403,138238299,residential,48.491
137961403,1788785577,tertiary,121.312
137964116,3950967583,secondary,7.006
137981937,428217540,residential,99.077
137981937,1252543215,tertiary,89.775
137981937,126604789,tertiary,102.632
137982073,1419645378,secondary,113.589
137982073,1417693658,secondary,33.142
137982073,4612022469,tertiary,82.384
137982795,5284385982,residential,27.442
137982795,25632284,secondary,16.19
137992807,5865201851,secondary,7.129
137992807,473240006,residential,73.434
137992807,137993129,residential,65.413
137992808,137994720,secondary,194.675
137992808,137994581,residential,91.981
137993129,5291598308,residential,107.686
137993249,1216789894,secondary,127.028
137993249,126617428,secondary,116.393
137994581,129552046,residential,77.691
137994583,475394859,residential,79.747
137994583,5291538854,residential,17.525
137994655,129552048,residential,100.433
137994655,6249234553,residential,10.586
137994720,137992807,secondary,132.228
137994933,137994581,residential,142.222
